pais,ano,krause,valor,moeda,tipo,qualidade,material,diametro,detalhe,anverso,reverso,,valor_venda,datacadastro,imagem1,imagem2; 
Afeganistao,0,0,10000,AFGHANIS,Nota,MB,PAPEL,170X76MM, , , ,0,15 de jun de 2018, , ; 
Afeganistao,1978,53A,50,AFGHANIS,Nota,0,PAPEL,133X57, , , ,0,15 de jun de 2018, , ; 
Afeganistao,1991,61,1000,AFGHANIS,Nota,FE,PAPEL,162X71, , , ,0,15 de jun de 2018, , ; 
Afeganistao,2002,0,1,AFGHANIS,Nota,FE,PAPEL,131X55, , , ,0,15 de jun de 2018, , ; 
Alemanha,1908,33,100,MARK,Nota,UTG,PAPEL,159X96,SERIE 8238143C, , ,0,15 de jun de 2018, , ; 
Alemanha,1910,0,1000,REICH,Nota,UTG,PAPEL,0x0,NR3089026B, , ,0,15 de jun de 2018, , ; 
Alemanha,1922,76,1000,MARK,Nota,UTG,PAPEL,158X85,SERIE XA 160800 MM, , ,0,15 de jun de 2018, , ; 
Alemanha,1922,76,1000,MARK,Nota,UTG,PAPEL,158X85,SERIE DE 304563 PL, , ,0,15 de jun de 2018, , ; 
Alemanha,1919,0,50,MARK,Nota,UTG,PAPEL,0x0,8777, , ,0,28 de out de 2019, , ; 
Alemanha,1919,0,50,MARK,Nota,UTG,PAPEL,153X101,SERIE 599187, , ,0,11 de ago de 2020, , ; 
Alemanha Terceiro Reich,1945,R139,20,REICHMARK,Nota,MTG,PAPEL,155X80MM,NAZISTA SERIE C2679228, , ,0,15 de jun de 2018, , ; 
Angola,1999,144,5,KWANZA,Nota,0,PAPEL,138X65,HQ1415419, , ,0,15 de jun de 2018, , ; 
Angola,2012,152,50,KWANZA,Nota,B,PAPEL,65X145,TM 1435557, ,CUEMBA,0,15 de jun de 2018, , ; 
Angola,2012,0,500,KWANZA,Nota,SOB,PAPEL,155X66MM,SERIE G0 8080511,,ANDULO,6,4 de mar. de 2022,https://i.colnect.net/f/6714/636/500-Kwanzas.jpg,https://i.colnect.net/f/6714/637/500-Kwanzas.jpg; 
Argentina,0,0,5,PESO,Nota,FE,PAPEL,150X55,00111324A,JOSE DE SAN MARTIN, ,0,15 de jun de 2018, , ; 
Argentina,0,0,10000,PESO,Nota,UTG,Papel,154X77MM,67352335b,General San Martin,Parque Nacional El Palmar,0,15 de jun de 2018, , ; 
Argentina,0,0,1000,PESO,Nota,UTG,Papel,151X74MM,292917176,General San Martin,Plaza De Mayo,0,15 de jun de 2018, , ; 
Argentina,0,0,5000,PESO,Nota,UTG,PAPEL,0x0,17699348B,GRAL SAN MARTIN, ,0,15 de jun de 2018, , ; 
Argentina,1985,0,10,AUSTRALES,Nota,FE,PAPEL,155X55MM,SERIE 54223735B,SANTIAGO DERQUI, ,0,15 de jun de 2018, , ; 
Argentina,2002,346,2,PESO,Nota,0,PAPEL,155X65,63956395L OTIMO ESTADO, , ,0,15 de jun de 2018, , ; 
Argentina,2003,353,5,PESO,Nota,0,PAPEL,153X64,28805807F RISCADA, , ,0,15 de jun de 2018, , ; 
Argentina,2003,354,10,PESO,Nota,0,PAPEL,154X64,02148842L ESTADO RUIM, , ,0,15 de jun de 2018, , ; 
Argentina,2003,355,20,PESO,Nota,0,PAPEL,155X65,01447019E OTIMO ESTADO, , ,0,15 de jun de 2018, , ; 
Argentina,1985,0,1,AUSTRAL,Nota,UTG,PAPEL,150X63MM,SERIE 36503495A,BARNARDINO RIVADAVIA,,0,4 de mar. de 2022,https://centralnumismatica.com.br/pub/media/catalog/product/cache/41337c52a3cb94271a8f90bde2b0c93e/i/m/img_20210901_152534.jpg,https://centralnumismatica.com.br/pub/media/catalog/product/cache/41337c52a3cb94271a8f90bde2b0c93e/o/r/original_ab01be44-e565-47bd-8ec0-31dea1beaf4b_img_20210901_135418.jpg; 
Argentina,1989,0,1,AUSTRAL,Nota,UTG,PAPEL,150X63MM,SERIE 37574350B,BERNARDINO RIVADAVIA,,0,4 de mar. de 2022,https://centralnumismatica.com.br/pub/media/catalog/product/cache/41337c52a3cb94271a8f90bde2b0c93e/i/m/img_20210901_152534.jpg,https://centralnumismatica.com.br/pub/media/catalog/product/cache/41337c52a3cb94271a8f90bde2b0c93e/o/r/original_ab01be44-e565-47bd-8ec0-31dea1beaf4b_img_20210901_135418.jpg; 
Austria,1902,8,1000,KRONEN,Nota,UTG,PAPEL,129X191,79463 2501, , ,0,15 de jun de 2018, , ; 
